"","candidate","state","votes_candidate","votes_state","prop","abbreviation"
"1","Ben Carson","Alabama",84139,1187624,0.0708464968710636,"AL"
"2","Ben Carson","Arkansas",23105,602290,0.0383619186770493,"AR"
"3","Ben Carson","Georgia",78731,1874509,0.0420008652932581,"GA"
"4","Ben Carson","Iowa",17173,325190,0.0528091269719241,"IA"
"5","Ben Carson","Massachusetts",877,83130,0.0105497413689402,"MA"
"6","Ben Carson","Nevada",3619,86815,0.0416863445257156,"NV"
"7","Ben Carson","New Hampshire",6509,525966,0.0123753246407562,"NH"
"8","Ben Carson","Oklahoma",28378,759340,0.0373719282534833,"OK"
"9","Ben Carson","South Carolina",53326,1105408,0.0482410114636406,"SC"
"10","Ben Carson","Tennessee",64671,1197202,0.0540184530263063,"TN"
"11","Ben Carson","Texas",116474,4091652,0.0284662527507227,"TX"
"12","Ben Carson","Vermont",275,18221,0.0150924757148345,"VT"
"13","Ben Carson","Virginia",51186,1496131,0.0342122447833779,"VA"
"14","Bernie Sanders","Alabama",74987,1187624,0.0631403541861734,"AL"
"15","Bernie Sanders","Arizona",163400,834200,0.195876288659794,"AZ"
"16","Bernie Sanders","Arkansas",64514,602290,0.10711451294227,"AR"
"17","Bernie Sanders","Colorado",71928,121184,0.593543702138896,"CO"
"18","Bernie Sanders","Florida",547051,3767915,0.145186661588704,"FL"
"19","Bernie Sanders","Georgia",181760,1874509,0.0969640583214058,"GA"
"20","Bernie Sanders","Idaho",18550,235051,0.0789190431012844,"ID"
"21","Bernie Sanders","Illinois",354344,1540864,0.229964487456388,"IL"
"22","Bernie Sanders","Iowa",69311,325190,0.213140010455426,"IA"
"23","Bernie Sanders","Louisiana",62723,496866,0.126237255115061,"LA"
"24","Bernie Sanders","Maine",61,101,0.603960396039604,"ME"
"25","Bernie Sanders","Massachusetts",26102,83130,0.313990135931673,"MA"
"26","Bernie Sanders","Michigan",587838,2387495,0.246215384744261,"MI"
"27","Bernie Sanders","Mississippi",34218,577735,0.0592278466771098,"MS"
"28","Bernie Sanders","Missouri",184883,1031302,0.179271445221671,"MO"
"29","Bernie Sanders","Nebraska",19120,33460,0.571428571428571,"NE"
"30","Bernie Sanders","Nevada",5641,86815,0.0649772504751483,"NV"
"31","Bernie Sanders","New Hampshire",151584,525966,0.288201138476632,"NH"
"32","Bernie Sanders","North Carolina",459606,2180023,0.210826216053684,"NC"
"33","Bernie Sanders","Ohio",513549,3204172,0.160275103833377,"OH"
"34","Bernie Sanders","Oklahoma",171771,759340,0.226210920009482,"OK"
"35","Bernie Sanders","South Carolina",95977,1105408,0.0868249551296897,"SC"
"36","Bernie Sanders","Tennessee",120047,1197202,0.100272969807935,"TN"
"37","Bernie Sanders","Texas",471191,4091652,0.115159109327968,"TX"
"38","Bernie Sanders","Utah",61333,254203,0.24127567337915,"UT"
"39","Bernie Sanders","Vermont",10272,18221,0.563745129246474,"VT"
"40","Bernie Sanders","Virginia",218517,1496131,0.146054723817634,"VA"
"41","Carly Fiorina","Iowa",3475,325190,0.0106860604569636,"IA"
"42","Carly Fiorina","New Hampshire",11706,525966,0.0222561914648475,"NH"
"43","Chris Christie","Iowa",3278,325190,0.0100802607706264,"IA"
"44","Chris Christie","New Hampshire",21069,525966,0.040057722362282,"NH"
"45","Donald Trump","Alabama",356892,1187624,0.300509252086519,"AL"
"46","Donald Trump","Arizona",249916,834200,0.299587628865979,"AZ"
"47","Donald Trump","Arkansas",132546,602290,0.220070065915091,"AR"
"48","Donald Trump","Florida",1015451,3767915,0.269499444653077,"FL"
"49","Donald Trump","Georgia",490566,1874509,0.261703731483818,"GA"
"50","Donald Trump","Idaho",60810,235051,0.258709811913159,"ID"
"51","Donald Trump","Illinois",350991,1540864,0.227788435579,"IL"
"52","Donald Trump","Iowa",45163,325190,0.138881884436791,"IA"
"53","Donald Trump","Kentucky",82493,225709,0.365483875255307,"KY"
"54","Donald Trump","Louisiana",100781,496866,0.202833359497329,"LA"
"55","Donald Trump","Massachusetts",16110,83130,0.193792854565139,"MA"
"56","Donald Trump","Michigan",469228,2387495,0.196535699551203,"MI"
"57","Donald Trump","Mississippi",180485,577735,0.312401014305867,"MS"
"58","Donald Trump","Missouri",291817,1031302,0.282959792572884,"MO"
"59","Donald Trump","Nevada",34531,86815,0.397753844381731,"NV"
"60","Donald Trump","New Hampshire",100406,525966,0.190898270990901,"NH"
"61","Donald Trump","North Carolina",455783,2180023,0.209072564830738,"NC"
"62","Donald Trump","Ohio",727585,3204172,0.227074264427752,"OH"
"63","Donald Trump","Oklahoma",129192,759340,0.170137224431743,"OK"
"64","Donald Trump","South Carolina",239851,1105408,0.216979612957388,"SC"
"65","Donald Trump","Tennessee",331462,1197202,0.276863887631327,"TN"
"66","Donald Trump","Texas",744441,4091652,0.181941426103686,"TX"
"67","Donald Trump","Utah",24864,254203,0.0978115915233101,"UT"
"68","Donald Trump","Vermont",2116,18221,0.116129740409418,"VT"
"69","Donald Trump","Virginia",311174,1496131,0.207985798035065,"VA"
"70","Hillary Clinton","Alabama",306823,1187624,0.258350285949088,"AL"
"71","Hillary Clinton","Arizona",235697,834200,0.282542555742028,"AZ"
"72","Hillary Clinton","Arkansas",142668,602290,0.236875923558419,"AR"
"73","Hillary Clinton","Colorado",49256,121184,0.406456297861104,"CO"
"74","Hillary Clinton","Florida",1064566,3767915,0.282534505157362,"FL"
"75","Hillary Clinton","Georgia",460660,1874509,0.245749686984698,"GA"
"76","Hillary Clinton","Idaho",5017,235051,0.0213443040021102,"ID"
"77","Hillary Clinton","Illinois",304632,1540864,0.197702068449909,"IL"
"78","Hillary Clinton","Iowa",69581,325190,0.213970294289492,"IA"
"79","Hillary Clinton","Louisiana",194126,496866,0.390700913324719,"LA"
"80","Hillary Clinton","Maine",40,101,0.396039603960396,"ME"
"81","Hillary Clinton","Massachusetts",25198,83130,0.303115602069048,"MA"
"82","Hillary Clinton","Michigan",571748,2387495,0.239476103614877,"MI"
"83","Hillary Clinton","Mississippi",175221,577735,0.303289570477814,"MS"
"84","Hillary Clinton","Missouri",165624,1031302,0.160596992927387,"MO"
"85","Hillary Clinton","Nebraska",14340,33460,0.428571428571429,"NE"
"86","Hillary Clinton","Nevada",6296,86815,0.0725220296031792,"NV"
"87","Hillary Clinton","New Hampshire",95252,525966,0.18109915850074,"NH"
"88","Hillary Clinton","North Carolina",615603,2180023,0.282383717969948,"NC"
"89","Hillary Clinton","Ohio",679266,3204172,0.211994237512843,"OH"
"90","Hillary Clinton","Oklahoma",137840,759340,0.181526062106566,"OK"
"91","Hillary Clinton","South Carolina",271514,1105408,0.24562333545623,"SC"
"92","Hillary Clinton","Tennessee",244663,1197202,0.204362338185202,"TN"
"93","Hillary Clinton","Texas",925323,4091652,0.226148998008628,"TX"
"94","Hillary Clinton","Utah",15666,254203,0.0616279115510045,"UT"
"95","Hillary Clinton","Vermont",1694,18221,0.0929696504033807,"VT"
"96","Hillary Clinton","Virginia",399943,1496131,0.267318169331429,"VA"
"97","Jeb Bush","Iowa",5221,325190,0.016055229250592,"IA"
"98","Jeb Bush","New Hampshire",31310,525966,0.059528562682759,"NH"
"99","Jeb Bush","South Carolina",57863,1105408,0.0523453783580361,"SC"
"100","John Kasich","Alabama",37127,1187624,0.0312615777384088,"AL"
"101","John Kasich","Arizona",53040,834200,0.0635818748501558,"AZ"
"102","John Kasich","Arkansas",15079,602290,0.0250361121718773,"AR"
"103","John Kasich","Florida",150167,3767915,0.0398541368369509,"FL"
"104","John Kasich","Georgia",66740,1874509,0.0356039901648912,"GA"
"105","John Kasich","Idaho",16251,235051,0.0691381870317506,"ID"
"106","John Kasich","Illinois",153761,1540864,0.0997888197790331,"IL"
"107","John Kasich","Iowa",3466,325190,0.0106583843291614,"IA"
"108","John Kasich","Kentucky",33134,225709,0.14679964024474,"KY"
"109","John Kasich","Louisiana",15996,496866,0.0321937906799821,"LA"
"110","John Kasich","Massachusetts",5662,83130,0.0681101888608204,"MA"
"111","John Kasich","Michigan",314871,2387495,0.131883417556895,"MI"
"112","John Kasich","Mississippi",34249,577735,0.059281504496006,"MS"
"113","John Kasich","Missouri",57725,1031302,0.0559729351829047,"MO"
"114","John Kasich","Nevada",2709,86815,0.0312042849737949,"NV"
"115","John Kasich","New Hampshire",44909,525966,0.0853838461041208,"NH"
"116","John Kasich","North Carolina",143837,2180023,0.0659795791145323,"NC"
"117","John Kasich","Ohio",956762,3204172,0.298598826779586,"OH"
"118","John Kasich","Oklahoma",16463,759340,0.0216806700555746,"OK"
"119","John Kasich","South Carolina",56206,1105408,0.0508463843214451,"SC"
"120","John Kasich","Tennessee",45155,1197202,0.0377171103957394,"TN"
"121","John Kasich","Texas",118707,4091652,0.0290119980878139,"TX"
"122","John Kasich","Utah",29773,254203,0.1171229293124,"UT"
"123","John Kasich","Vermont",1916,18221,0.105153394434993,"VT"
"124","John Kasich","Virginia",82701,1496131,0.0552765767168784,"VA"
"125","Marco Rubio","Alabama",154379,1187624,0.129989794749853,"AL"
"126","Marco Rubio","Arkansas",100999,602290,0.167691643560411,"AR"
"127","Marco Rubio","Florida",607491,3767915,0.161227363143808,"FL"
"128","Marco Rubio","Georgia",297748,1874509,0.15884052837303,"GA"
"129","Marco Rubio","Idaho",34976,235051,0.148801749407575,"ID"
"130","Marco Rubio","Illinois",72233,1540864,0.0468782449327131,"IL"
"131","Marco Rubio","Iowa",42883,325190,0.131870598726898,"IA"
"132","Marco Rubio","Kentucky",37579,225709,0.166493139396302,"KY"
"133","Marco Rubio","Louisiana",28071,496866,0.0564961176655275,"LA"
"134","Marco Rubio","Massachusetts",5645,83130,0.0679056898833153,"MA"
"135","Marco Rubio","Michigan",121296,2387495,0.0508047137271492,"MI"
"136","Marco Rubio","Mississippi",19215,577735,0.0332591932287294,"MS"
"137","Marco Rubio","Missouri",37421,1031302,0.0362852006492764,"MO"
"138","Marco Rubio","Nevada",17940,86815,0.206646316880723,"NV"
"139","Marco Rubio","New Hampshire",30032,525966,0.0570987478278064,"NH"
"140","Marco Rubio","North Carolina",87466,2180023,0.0401215950473917,"NC"
"141","Marco Rubio","Ohio",59418,3204172,0.0185439483273682,"OH"
"142","Marco Rubio","Oklahoma",119053,759340,0.156784839465852,"OK"
"143","Marco Rubio","South Carolina",165881,1105408,0.150063144106068,"SC"
"144","Marco Rubio","Tennessee",180645,1197202,0.150889323606208,"TN"
"145","Marco Rubio","Texas",495825,4091652,0.121179660440331,"TX"
"146","Marco Rubio","Vermont",1267,18221,0.0695351517479831,"VT"
"147","Marco Rubio","Virginia",280872,1496131,0.18773222398306,"VA"
"148","Martin O'Malley","Iowa",747,325190,0.00229711860758326,"IA"
"149","Mike Huckabee","Iowa",3300,325190,0.0101479135274762,"IA"
"150","Rand Paul","Iowa",8460,325190,0.0260155601340755,"IA"
"151","Rick Santorum","Iowa",1773,325190,0.00545219717703496,"IA"
